Name,nv_fld_iataCode__c,nv_fld_latitude__c,nv_fld_longitude__c
Aeropuerto de Alicante-Elche,ALC,382.822,-558.156
Aeropuerto de Almería,LEI,36.843.899,-23.701
Aeropuerto de Badajoz,BJZ,388.913,-682.133
Aeropuerto Josep Tarradellas Barcelona-El Prat,BCN,412.971,207.846
Aeropuerto de Bilbao,BIO,43.301.102,-291.061
Aeropuerto de Burgos,RGS,42.357.601,-362.076
Aeropuerto de Castellón-Costa Azahar,CDT,40.213.889,73.333
Aeropuerto de Córdoba,ODB,37.841.999,-484.888
Aeropuerto de San Sebastián,EAS,43.356.499,-179.061
Aeropuerto de Gerona-Costa Brava,GRO,41.901.001,276.055
Aeropuerto Federico García Lorca Granada-Jaén,GRX,37.188.702,-377.736
Aeropuerto de Ibiza,IBZ,38.872.898,137.312
Aeropuerto de Jerez,XRY,36.744.598,-606.011
Aeropuerto César Manrique-Lanzarote,ACE,28.945.499,-136.052
Aeropuerto Benito Pérez Galdós-Gran Canaria,LPA,279.319,-153.866
Aeropuerto de León,LEN,42.589.001,-565.556
Aeropuerto Adolfo Suárez Madrid-Barajas,MAD,40.471.926,-356.264
Base Aérea de Torrejón de Ardoz,TOJ,404.967,-344.587
Aeropuerto de La Gomera,GMZ,280.296,-172.146
Aeropuerto de Málaga-Costa del Sol,AGP,366.749,-449.911
Aeropuerto de Melilla,MLN,352.798,-295.626
Aeropuerto de Menorca,MAH,39.862.598,421.865
Aeropuerto Internacional de la Región de Murcia,RMU,37.803,-1.125
Aeropuerto de Asturias,OVD,43.563.599,-603.462
Aeropuerto de Son Sant Joan,PMI,39.551.701,273.881
Aeropuerto de Pamplona,PNA,42.77,-164.633
Aeropuerto Internacional Reina Sofía,TFS,280.445,-165.725
Aeropuerto de Manises,VLC,394.893,-481.625
Aeropuerto de Villanubla,VLL,417.061,-485.194
Aeropuerto de los Cangrejos,VDE,278.148,-178.871
Aeropuerto de Vigo-Peinador,VGO,422.318,-862.677
Aeropuerto de Reus,REU,411.474,116.717
Aeropuerto de Salamanca,SLM,40.952.099,-550.199
Aeropuerto Seve Ballesteros-Santander,SDR,43.427.101,-382.001
Aeropuerto de La Palma,SPC,28.626.499,-177.556
Aeropuerto de Sevilla-San Pablo,SVQ,37.417.999,-589.311
Aeropuerto de Tenerife Norte-Ciudad de La Laguna,TFN,284.827,-16.341.499
Aeropuerto de La Coruña,LCG,43.302.101,-837.726
Aeropuerto de Vitoria,VIT,42.882.801,-272.447
Aeropuerto de Zaragoza,ZAZ,41.666.199,-104.155
Aeropuerto de Santiago,SCQ,42.896.301,-841.514
Aeropuerto de Agoncillo,RJL,42.460.953,-2.322.235
Aeropuerto de Fuerteventura,FUE,284.527,-138.638